sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_II	BLS	botH	bt1fas	CAS	Chal_sti_synt_C	Chal_sti_synt_N	Cloacin	Condensation	cyanobactin_synth	cycdipepsynth	DUF1205	DUF692	ectoine_synt	fabH	fom1	ft1fas	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	L_biotic_typeA	Lactococcin_972	LANC_like	Lant_dehyd_C	Lant_dehyd_N	Linocin_M18	LipM	LipV	LmbU	Lycopene_cycl	MGT	micJ25	mvd_mst	NAD_binding_4	NapT7	Neocarzinostat	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	prnB	salQ	spcDK_like_cou	spcDK_like_glyc	strK_like1	strK_like2	subtilosin	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	thiostrepton	TIGR03604	TIGR03651	TIGR03731	TIGR03793	TIGR03795	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	vlmB	YcaO
sim_meta-83	165	1	11049	0	21	0	0	0	0	0	7	8	0	170	0	0	0	189	24	552	0	0	228	1604	1343	0	0	0	0	37	1	0	12	0	0	7	0	0	0	34	22	86	0	1204	0	0	0	429	3849	331	944	1935	5	15	208	0	500	63	315	0	0	0	0	0	0	0	18	1644	5	0	0	20	0	0	0	5	0	0	0	0	0	0	0	1	0	0	256
sim_meta-84	502	1	17629	88	48	0	0	0	12	0	30	47	0	1612	3	0	0	143	19	660	4	0	176	2543	2250	0	16	52	0	81	0	0	60	52	12	24	0	0	0	40	155	19	5	1335	7	0	0	1062	4001	292	255	2491	20	25	254	5	905	1512	793	0	5	7	5	1	0	0	10	1107	14	17	1	35	42	1	0	1	0	0	6	5	17	50	0	1	2	10	176
sim_meta-85	441	0	16548	43	46	0	3	1	0	7	35	44	0	1298	9	0	0	105	12	709	0	0	181	2591	2469	0	23	75	0	122	0	0	33	81	18	27	0	0	0	13	220	20	5	1272	8	0	0	733	3562	312	345	1995	17	10	256	1	983	1132	617	13	18	0	4	4	0	0	21	1108	13	5	1	56	19	0	0	0	0	1	0	0	4	72	0	0	1	0	149
sim_meta-86	427	2	15696	82	63	0	1	0	11	5	38	42	0	1431	0	0	0	148	9	682	0	0	182	2415	2343	0	13	71	0	142	0	0	26	44	13	16	0	1	0	24	234	10	9	1367	6	0	1	1099	3968	250	476	2265	5	4	296	6	702	967	648	0	0	1	3	0	0	0	17	1151	16	13	1	77	23	0	0	3	0	0	0	6	10	8	2	1	0	6	188
sim_meta-87	252	0	15258	0	12	0	0	4	21	0	45	35	0	616	0	0	0	242	29	690	0	0	199	2525	2130	0	0	2	0	153	0	0	12	0	0	1	0	0	0	88	59	7	0	1227	5	0	0	893	3708	344	569	2189	0	8	285	0	531	169	396	0	0	0	0	0	0	0	0	1334	0	0	2	176	9	0	0	0	0	0	0	6	0	0	0	0	0	0	69
sim_meta-88	334	0	15550	107	33	0	0	1	11	0	27	43	0	2088	0	0	0	101	7	792	0	0	207	2409	2404	0	27	41	0	99	2	0	35	70	19	19	0	0	0	11	122	29	2	1481	17	0	0	631	2814	280	384	1610	15	11	124	1	946	1464	873	13	9	5	9	4	0	8	1	1152	6	10	0	37	35	0	0	1	0	0	0	1	2	53	0	0	0	0	227
sim_meta-89	398	7	15711	0	53	0	0	0	48	0	55	47	0	727	0	0	0	138	3	547	0	0	173	2427	2495	0	0	30	0	35	0	0	113	0	0	18	0	0	0	48	135	9	0	1436	9	0	0	775	3929	250	199	2770	101	15	264	0	654	358	384	0	0	3	1	0	0	0	0	1278	1	0	0	63	0	0	0	0	0	0	9	0	0	0	0	1	2	0	120
sim_meta-9	438	0	18506	48	57	0	0	3	8	0	64	41	0	1918	0	0	0	124	35	667	4	0	163	2257	1759	0	33	65	2	207	0	0	43	45	8	33	0	0	0	19	95	36	8	1246	8	0	0	1163	3852	226	295	2135	14	26	288	11	1262	1736	760	0	10	1	3	1	0	0	29	960	40	3	2	45	48	2	0	0	0	0	0	1	13	59	0	0	0	0	188
sim_meta-90	428	3	14949	0	34	0	0	1	3	0	29	17	1	1313	0	0	0	69	22	765	0	0	187	2339	2392	0	25	101	0	127	0	0	38	27	13	38	14	5	0	13	388	23	0	1314	7	0	0	1308	3235	319	519	1785	34	3	240	0	1018	1036	657	0	8	2	3	4	0	0	53	1234	90	0	4	64	76	0	0	0	0	0	0	4	1	43	0	0	0	0	226
sim_meta-91	313	1	14720	0	18	0	0	2	0	0	45	30	0	1286	0	0	0	77	23	786	0	0	189	2643	2702	36	17	70	0	78	0	0	12	6	2	17	8	1	0	64	375	9	3	1540	5	0	0	757	3369	304	213	2045	11	11	264	3	764	594	562	0	0	2	2	2	0	0	20	1214	18	0	0	44	18	0	0	2	1	14	8	1	12	0	0	0	0	0	162
sim_meta-92	365	0	11692	0	70	0	0	0	16	0	26	40	0	394	0	0	0	107	24	752	5	0	199	2331	2118	0	0	0	0	21	0	1	23	1	0	4	0	0	0	46	19	16	0	1326	2	0	0	532	3682	232	649	2292	2	9	377	0	655	394	307	0	0	7	3	0	0	0	0	1291	7	0	0	57	0	0	0	0	0	3	0	6	0	13	0	0	1	0	68
sim_meta-93	325	3	12502	2	53	0	0	0	0	0	23	38	0	771	0	0	0	103	14	674	3	0	197	2812	2599	0	0	0	0	75	0	0	4	8	0	1	0	0	0	49	31	27	0	1410	1	0	0	511	2789	301	234	1421	3	0	295	1	634	444	434	0	0	5	0	0	0	0	0	1134	8	0	0	55	2	0	0	0	0	0	0	2	0	1	0	0	0	0	103
sim_meta-94	372	2	17535	19	71	0	0	2	29	0	25	42	0	1649	0	6	0	173	34	604	0	0	175	2301	1941	0	6	74	0	142	0	0	59	38	10	21	2	0	0	31	207	23	9	1315	11	1	0	1271	4181	240	508	2349	17	10	298	9	1305	1560	708	0	7	4	1	0	0	0	33	1158	41	0	2	73	51	0	0	1	0	0	0	0	12	12	2	1	0	4	224
sim_meta-95	400	4	17255	0	43	0	4	4	10	7	40	25	0	1301	0	10	0	93	47	695	0	0	205	2468	2370	0	0	77	0	68	0	0	102	84	11	32	0	2	0	36	250	10	3	1237	11	0	0	1097	4197	275	517	2372	31	0	267	0	1011	892	704	0	5	3	1	0	0	0	100	1139	84	0	1	26	60	0	0	0	0	0	0	1	6	18	4	6	0	0	124
sim_meta-96	419	2	15365	0	52	0	0	1	9	0	27	44	0	583	0	0	0	82	19	644	0	0	211	2420	2147	5	0	10	0	114	0	0	50	107	17	9	0	0	0	9	117	12	0	1265	13	0	0	672	3567	308	387	2148	30	5	263	0	825	774	391	0	15	1	4	1	0	0	6	1203	12	0	0	51	15	1	0	0	0	2	0	0	2	58	0	1	1	1	170
sim_meta-97	345	2	17429	429	28	0	0	0	0	0	72	91	0	1670	0	0	0	208	21	719	0	0	153	2472	2402	0	57	139	0	128	0	0	117	92	30	23	0	0	0	10	192	12	20	1376	5	0	0	1429	3594	224	375	1659	0	48	283	15	875	2781	1040	0	0	3	0	0	0	0	67	1207	51	54	7	88	150	0	0	0	0	0	12	1	10	20	4	6	0	0	494
sim_meta-98	308	2	15391	9	16	0	0	0	11	0	34	31	0	3025	0	0	0	153	33	739	0	0	202	2245	2395	0	0	0	0	74	0	0	13	18	9	0	0	0	0	36	79	38	0	1397	5	0	0	446	3335	351	436	2053	3	10	243	2	808	734	913	0	5	8	5	0	0	0	0	1179	3	0	3	67	5	1	0	3	0	0	0	5	0	15	0	0	0	0	176
sim_meta-99	411	0	16458	87	50	0	0	0	11	0	81	71	3	1502	0	0	1	135	1	753	0	0	161	2673	2223	0	21	70	0	80	0	0	36	12	4	30	5	2	0	31	296	25	3	1481	4	0	0	902	3928	261	264	2317	10	7	234	5	821	1234	688	0	0	7	0	0	0	0	7	1252	17	7	2	22	43	0	0	1	0	0	0	2	7	0	0	0	1	0	227
