sample	amglyccycl	arylpolyene	bacteriocin	blactam	butyrolactone	cyanobactin	ectoine	fused	head_to_tail	hserlactone	indole	ladderane	lantipeptide	lassopeptide	microviridin	nrps	oligosaccharide	other	otherks	phenazine	phosphonate	proteusin	PUFA	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-128	0	23.937198	88.2871622	0	4.6635	1.963584	22.174914	0	0	17.994872	0.689015	1.282359	26.177623	4.889549	0	72.911989	0	19.877198	10.894953	0.975159	4.559663	0	5.547223	10.454323	3.99308	19.194088	28.784999	0.967715	29.541396	100.904476	0	3.068744
sim_meta-129	0	21.58805	54.806339	0	3.64018	6.51046	5.949313	0	0	41.032401	0	0	2.31491	14.86486	0	27.262731	0	29.198959	12.25369	0	0	0	9.56256	17.04112	0	19.0731	29.733089	0	23.865175	90.469998	0	0
sim_meta-13	2.8707	44.750004	112.497302	1.92764	5.078215	0	17.001601	0	0	27.40913	1.8123	7.0215	26.66161	2.261023	0	73.666467	0	23.719461	12.212684	0	1.773007	0	6.521464	10.5042	0	18.983575	54.2356	5.31848	36.785585	120.416737	0	8.02002
sim_meta-130	0.853269	24.300114	74.401564	0	0.828127	0	23.094694	0	0	14.972456	0	1.01482	17.241081	7.043991	0	44.666219	0	43.688777	14.185265	0	5.501187	0	8.588523	5.200484	1.715077	7.963768	46.021	0	36.372761	107.676609	0	0.881487
sim_meta-131	0	26.2457	164.176267	0	4.52087	0	22.32625	0	0	41.687011	0	5.70477	45.34814	13.421825	0	124.433955	0	30.91009	6.912533	5.41678	9.40972	0	0.962653	19.30234	0	16.97373	56.664543	5.70477	26.96415	96.630842	0	5.83162
sim_meta-132	0	36.278442	162.069222	0	2.51655	4.740678	22.489752	0	0	14.903723	0	1.80992	18.080581	8.901489	0.352172	69.582925	0	19.927409	14.023742	0	4.608183	5.528578	10.55888	7.872413	0.291377	15.715427	31.801708	1.80992	18.539948	89.935726	0.415459	1.69699
sim_meta-133	0.595197	35.032092	107.498472	2.95462	1.502105	1.11285	18.886154	0	0	23.553151	5.20696	6.18179	26.845216	19.44979	0	114.814743	0	37.66201	18.775345	1.96723	0	0	10.56264	4.630891	2.20827	18.780521	37.81595	5.6673	26.440948	99.857947	1.502891	13.88341
sim_meta-134	0	9.7088	177.692858	0	2.88551	0.878179	13.99374	0	0	19.875577	1.92326	0.624307	14.083193	11.04047	0	85.319472	0	7.917982	4.49833	0	3.39636	0	0	4.696235	0.910517	9.691882	40.684782	0	25.71033	99.970977	0	4.27031
sim_meta-135	0	20.254621	111.881039	0	0	0	12.24767	0	0	47.547402	0	0	29.552432	0	0	97.402573	0	12.436067	15.180146	0	6.684084	0	9.874612	9.59274	0.462254	29.403772	47.708241	0	18.4125	115.408447	0	0
sim_meta-136	0	47.802665	94.008072	0	2.31521	0	17.631889	0	0	7.913676	0	0	9.50682	3.59582	0	37.805324	0	13.37459	7.122255	0	0	0	5.067975	21.6219	0	19.18318	48.000088	5.64981	16.7455	95.15645	2.78499	0
sim_meta-137	0	41.231241	67.224506	3.28675	0	0	36.726156	0	0	23.152525	3.37318	7.02908	24.802173	0.940151	0	44.226369	0	21.437355	7.979208	0	4.34722	0	4.60881	16.81437	0	22.171517	28.494633	4.138635	23.41985	103.912653	0.386952	0
sim_meta-138	0	41.808184	85.853418	0	3.626355	0	17.751697	0	0	30.547389	0	0	20.048584	19.670348	0	114.199821	0	34.569374	14.059781	3.99326	3.158786	0	6.734091	3.687571	2.43017	21.997775	27.010539	0	16.89993	68.904382	0	16.8288
sim_meta-139	0	29.700222	114.43956809	0	0	0	15.274362	0	2.64523	36.348332	5.18052	3.10087	16.6937	17.308959	0	118.172467	0	33.422255	6.821463	0	11.503322	0.769467	5.826549	6.88782	0	18.508994	64.088018	0.439957	21.785747	97.9425121	0	13.46043
sim_meta-14	5.7525	26.185384	129.67392	0	0.735043	0	11.119259	0	0	14.994523	0	5.08867	67.00554	1.533584	0	80.376179	0	27.692977	23.0716	5.35472	0	0	11.6441	12.99191	0	26.30867	71.095944	10.16103	41.188009	130.816642	2.63622	5.66668
sim_meta-140	2.539	39.25095	119.543783	1.52141	7.520029	1.40064	20.623419	2.42973	0	18.122085	2.176287	3.37238	19.543491	13.830407	0	93.676373	0	27.018273	4.425898	1.60371	3.621513	0	2.146618	4.786316	0.376052	19.865835	46.168109	6.39809	19.644221	93.518031	2.4272	9.05382
sim_meta-141	0	31.104462	75.354115	0	1.93394	0	30.927841	0	0	46.4987492	0	1.0627	13.786538	3.881483	0	88.612129	0	18.320519	7.319204	4.72721	3.96751	2.51347	2.134414	7.55649	1.79646	6.84917	23.5485	2.065127	23.036034	108.130161	0.560783	1.81409
sim_meta-142	5.097584	18.780058	161.3886462	0	14.698825	1.237839	12.867956	6.53213	0	7.747577	7.58702	4.970737	34.3273977	8.942023	2.177687	127.3280334	2.30292	27.5399244	9.970602	0	3.112606	0	2.363412	2.692455	0.100468	11.701197	85.9371937	7.04366	26.602443	132.3695785	4.771907	4.61724
sim_meta-143	2.514441	16.228993	130.461412	0	5.943969	0.299599	20.699807	1.37212	0	9.6320362	3.455813	1.2193	28.863384	10.951645	0.386993	104.21898	1.0145	35.724633	16.452706	1.54847	0.850888	0	5.994833	2.633968	4.359984	9.730228	53.666944	3.49725	23.644195	115.318734	2.53707	3.99399
sim_meta-144	8.79141	15.5647	151.054773	0	8.64519	0	19.82334	4.37627	0	8.25152	0	3.37661	56.1805	1.62071	0	117.80969	0	26.51492	11.16728	3.5356	7.85696	0	0	8.40261	10.3831	17.7599	73.82637	11.82476	32.698	120.24841	6.09192	13.56294
sim_meta-145	0.568453	20.027221	109.923332	0	0.567567	0	31.927064	0	0	23.766066	0.792314	0	15.71718	27.516291	0	76.942358	0	22.897635	10.979032	0	5.251495	3.939672	1.15454	6.936788	0.972859	3.7200395	27.193004	0	21.343897	96.437004	0.120976	7.58251
sim_meta-146	6.49227	31.302433	116.709887	0	7.90051	11.34306	20.47206	0	5.44587	11.01949	0	8.25508	25.80252	2.98482	0	92.13573	0	28.805374	32.46813	0	12.01086	4.66284	24.26451	9.327093	0	28.44646	50.182074	2.35733	14.36717	71.222285	0	10.84165
sim_meta-147	1.69179	34.617752	80.536895	0	1.78903	0.552035	11.643408	0	0	31.495112	0.811708	0.604705	24.807979	13.571775	1.418558	114.714031	0	29.64127	19.570495	0	4.23545	0	7.653694	12.27412	2.420544	13.990846	17.880387	1.700816	27.049746	89.512601	1.1477	17.89936
sim_meta-148	0	14.73247	70.198925	0	0	0	36.05565	0	0	14.712072	0	0	32.38494	0	0	23.05113	0	17.22244	24.19028	0	0	0	11.04378	3.05154	0	24.377535	24.800638	0	23.33915	32.69801	0	0
sim_meta-149	0	30.690944	134.9466866	0	1.686973	0.223555	20.857506	0	1.68875	12.172076	0	3.168227	24.588987	12.580973	0	71.115602	0	24.151901	18.607879	1.36171	5.51048	0	5.92704	14.217906	0	8.994808	44.131428	1.22648	20.234154	100.600756	0	3.81657
