sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	bacilysin	Bacteriocin_II	Bacteriocin_IIc	Bacteriocin_IId	BLS	bt1fas	CAS	Chal_sti_synt_C	Chal_sti_synt_N	Condensation	cyanobactin_synth	cycdipepsynth	dmat	DUF1205	DUF692	ectoine_synt	fabH	fom1	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	L_biotic_typeA	Lactococcin_972	LANC_like	Lant_dehyd_C	Lant_dehyd_N	Linocin_M18	LipV	Lycopene_cycl	MGT	micJ25	mvd_mst	NAD_binding_4	NapT7	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	salQ	skfc	spcDK_like_cou	spcDK_like_glyc	strK_like1	strK_like2	subtilosin	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	TIGR03601	TIGR03602	TIGR03603	TIGR03604	TIGR03605	TIGR03651	TIGR03678	TIGR03693	TIGR03731	TIGR03793	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	YcaO
sim_meta-89	205	0	11526	0	44	0	0	0	2	0	19	0	33	36	1233	0	0	0	0	302	33	917	0	170	2339	2590	0	12	10	0	132	0	0	29	24	4	38	0	61	64	8	0	1378	3	0	538	3027	347	765	1711	0	13	117	43	609	202	455	10	0	1	3	0	0	0	0	1408	5	0	9	44	0	0	0	6	0	1	0	0	0	1	0	4	0	4	0	0	0	163
sim_meta-9	193	3	10617	1	14	0	0	0	0	0	0	0	31	50	1689	0	8	0	0	161	35	1023	0	230	2443	2393	0	93	157	0	38	0	0	1	19	6	12	0	95	96	11	0	1487	0	0	522	2660	298	465	1634	0	16	141	0	857	545	662	0	0	0	1	0	0	0	0	1598	1	0	0	21	28	0	0	0	0	0	1	0	0	0	0	4	0	17	0	0	1	119
sim_meta-90	257	0	11135	20	38	0	0	0	0	2	1	6	23	37	1816	35	0	0	0	197	31	739	2	201	2710	2530	1	31	28	5	39	0	0	90	48	4	16	0	16	160	25	1	1551	0	0	694	2772	342	643	1592	87	34	130	29	891	740	643	0	1	0	2	0	0	9	5	1362	10	0	8	38	12	1	0	0	2	0	6	2	9	0	18	13	8	27	0	1	0	177
sim_meta-91	216	7	10435	16	29	0	0	1	0	0	2	0	13	26	1388	0	1	0	0	222	27	929	0	180	2378	2283	0	79	108	0	49	0	0	8	0	0	20	0	90	25	3	0	1266	0	0	624	3038	320	986	1823	8	0	106	0	780	822	646	2	0	0	0	0	0	3	0	1545	3	0	3	18	15	1	0	0	6	0	0	0	15	0	0	11	0	0	0	0	0	184
sim_meta-92	329	0	11203	0	51	0	0	0	0	0	3	0	3	6	788	0	0	0	0	139	18	766	0	236	2207	2021	0	55	109	0	167	0	0	0	0	0	8	0	62	82	16	0	1287	0	0	359	3490	297	664	1946	0	3	147	15	731	129	476	0	0	1	0	0	0	0	0	1622	6	0	1	1	16	0	0	17	0	1	7	0	0	0	0	8	0	0	0	0	1	212
sim_meta-93	194	2	10296	0	11	0	0	0	0	0	0	0	35	55	863	0	3	0	0	176	34	943	0	173	2514	2789	0	25	69	41	37	0	0	31	127	36	11	0	135	191	39	0	1565	3	0	838	3278	268	520	2186	26	5	201	0	942	756	482	16	0	3	2	0	0	0	22	1442	46	0	1	46	9	0	0	0	0	0	0	0	0	0	0	13	0	0	3	0	1	137
sim_meta-94	346	7	12706	112	21	19	0	0	0	0	7	0	35	57	1901	1	0	0	0	162	21	937	0	215	2764	2801	0	60	82	0	58	0	0	64	29	7	17	0	107	134	27	0	1622	1	0	661	3368	285	885	1974	41	28	237	0	881	870	780	0	2	1	1	0	0	24	0	1447	2	20	1	35	14	1	0	0	5	0	2	0	4	0	1	16	7	24	0	0	0	107
sim_meta-95	298	6	13947	2	12	0	0	0	0	0	28	0	14	20	2255	0	0	0	0	174	70	757	0	168	2432	1865	0	47	57	0	8	0	4	36	5	0	28	0	73	89	11	0	1220	9	0	761	3625	253	434	2181	2	8	126	0	689	192	601	28	1	0	0	0	0	3	1	1355	4	0	2	4	0	0	0	0	0	0	0	0	1	0	0	18	0	0	0	2	2	167
sim_meta-96	154	6	14573	3	17	0	0	0	0	0	2	0	24	30	1253	39	0	0	0	211	37	813	0	194	2219	2225	0	66	93	0	50	0	0	1	11	3	8	0	71	91	7	0	1385	1	0	779	3713	285	935	1987	9	10	144	0	754	411	589	0	0	1	0	0	0	5	0	1412	4	0	2	10	39	2	0	0	4	0	0	0	10	0	4	10	6	14	0	0	0	150
sim_meta-97	303	0	11453	29	8	0	0	0	0	0	2	0	27	34	1141	0	0	0	0	87	10	738	4	169	2826	2389	3	0	22	0	57	0	0	49	56	10	37	0	87	36	13	0	1638	0	0	399	2961	285	563	1841	28	20	140	0	811	765	491	0	0	3	0	0	0	12	0	1520	2	10	1	73	20	0	0	0	0	0	0	0	0	5	35	26	12	3	0	1	1	128
sim_meta-98	252	0	10722	6	33	0	0	0	0	8	0	14	44	79	895	0	1	0	0	151	54	794	6	189	2174	2104	0	31	21	0	67	0	0	4	0	0	0	3	104	72	25	0	1328	3	1	839	3140	285	648	2194	0	0	267	0	591	325	397	0	0	0	0	1	1	0	21	1268	30	0	4	62	0	0	0	0	0	0	0	0	0	0	0	9	12	34	0	1	1	87
sim_meta-99	201	3	12048	1	65	0	0	0	0	0	0	0	34	66	1345	11	0	0	0	237	18	861	3	218	2161	2065	0	73	121	48	63	0	0	39	91	24	18	0	111	112	26	2	1265	2	0	1039	3683	276	631	2136	24	16	179	0	859	459	565	3	0	1	0	0	0	3	13	1535	10	0	0	33	2	0	0	0	0	0	0	0	0	0	0	13	2	4	3	0	0	157
