sample	amglyccycl	arylpolyene	bacteriocin	blactam	butyrolactone	cyanobactin	ectoine	hserlactone	indole	ladderane	lantipeptide	lassopeptide	linaridin	melanin	microviridin	nrps	nucleoside	oligosaccharide	other	otherks	phenazine	phosphonate	proteusin	PUFA	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-60	2.14089	33.001158	94.4405805	0	4.6446	0	26.294427	33.292452	8.48161	7.77766	48.507867	11.565679	2.81653	0	1.850687	136.838865	5.39854	6.74925	74.2655188	24.163435	1.10813	2.833175	1.58118	0	2.994521	0	35.621985	91.0424907	18.61269	17.76376	131.7543515	5.11578	2.17968
sim_meta-61	0	22.657791	82.3448058	0	0	1.87162	26.995723	45.551534	0	2.5336	41.81559	15.593703	0	0	0	114.563923	0	0	30.40191	24.044482	2.01366	10.32561	0	1.66958	9.44058	0	32.679405	98.734212	5.58052	20.01515	111.238669	8.01226	2.92934
sim_meta-62	1.8639	22.770314	89.222742	0	0.0720052	0	12.418892	31.301281	2.82156	0	15.300579	9.93677	0	1.74043	2.24978	90.079712	2.95941	2.74915	44.004371	20.743031	0	3.33714	3.58619	2.990659	8.794922	0	20.527215	59.53679	2.84239	14.58779	102.952421	8.08457	0
sim_meta-63	0	24.64596	60.098811	0	8.44792	0	14.2012721	28.436856	1.460491	0.75724103	34.871865	6.152185	2.46194	0	0	93.4049339	0.750122	0.74311	45.050916	17.57892	2.20523	4.75027	0	1.54303	10.000961	0	23.03065937	51.4092094	5.453149	24.587723	107.573315	5.35802	6.78021
sim_meta-64	0	26.059365	50.5647	0	0	0	22.16995	53.518054	0	0	5.52879	31.14934	0	0	3.66832	56.665007	0	0	49.236877	3.70074	0	2.70305	9.6154	0	9.1668	0	10.0325	17.24007	1.90259	17.46928	73.139325	0	0
sim_meta-65	0	33.607858	97.115499	0	11.83478	0	1.77437	36.19669	0	6.90355	33.2425	3.04887	0	0	11.68642	103.832368	0	0	36.825892	30.41923	7.02464	11.58341	0	0	13.794337	0	19.602383	99.117563	0	39.08339	115.857609	12.73122	19.17041
sim_meta-66	1.96717	34.184926	82.3152624	1.88459	0.850974	0	12.207997	33.2729375	5.940696	5.989163	31.287091	12.087019	1.279961	1.48181	5.201966	99.820714	4.865972	3.23841	37.8169625	19.789205	0.794729	4.311709	0	0.744308	14.981204	0	28.779203	82.423341	2.277363	22.085237	120.85254	7.111238	4.686745
sim_meta-67	0	40.542742	74.6603447	0	4.601126	0.527651	15.629955	20.0626763	3.93174	8.14823	27.477863	10.230526	0	0	2.10668	101.5196001	4.60774	1.55796	57.9761304	25.305467	2.527	3.194266	0	2.07466	13.21597	0	28.0974621	66.611603	7.873152	24.38467	105.7282073	1.33403	2.919616
sim_meta-68	0	42.234693	76.83443326	0	2.98455	0	4.126814	37.069449	7.68714	6.04256009	18.6981076	8.9058598	2.9809	0	0.822725	87.534256	4.849008	3.91946	46.487583	15.11161	0	1.5648	0	2.570653	13.31304	0	18.665498	64.271688	12.534915	21.144273	125.887825	3.60385	0.925269
sim_meta-69	2.7585	29.048458	73.7378682	1.89731	0	0	17.611279	51.114111	1.97496	6.62709	9.6386	11.43109	0	3.03042	0	143.458339	0	0	44.331656	5.137585	0	4.80757	0	1.11656	13.51885	0	23.694473	46.442549	3.9336	19.95461	141.466165	7.77463	0
sim_meta-7	2.19338	25.469974	79.1293745	0.491242	1.250915	0.854067	12.1850593	24.892311	7.728439	3.8646038	35.31349581	8.844939	0.212421	2.28018	2.110589	119.624481	2.35137	2.534446	36.3119917	18.7477291	1.71882	4.038617	0	0	9.18944	0	28.338576	87.1917781	5.106376	20.942598	105.227334	4.62548	1.64666
sim_meta-70	0	6.56627	42.03733	0	0	0	5.2571	49.1013	0	8.91875	9.67163	12.43025	0	0	0	76.781967	0	0	35.63154	11.611	0	13.32675	0	0	4.21677	0	20.3769	66.694952	0	32.91858	103.008512	4.81497	0
sim_meta-71	2.79903	29.967394	63.891903	0	0	0	7.91388	37.751355	4.5455	0	34.774285	20.69591	0	2.42766	1.355101	88.5526	8.6866	0	15.825107	12.979973	0	1.0469	0	0	13.274939	0	34.878926	93.807842	0	16.764753	150.062046	6.32933	3.72668
sim_meta-72	0	38.602029	109.7851783	0	0	0	16.983176	26.7753832	9.42649	2.29352	35.41203	16.2269	0.116263	0	3.94667	88.877588	4.24431	4.40231	51.103726	21.632016	0.925877	4.188325	0	0	14.375284	0	28.567111	70.812072	13.55707	22.67625	103.0838981	5.041649	4.18409
sim_meta-73	3.92461	13.324506	39.748136	2.31398	13.2175	0	16.344489	12.224254	2.20738	4.7165	30.63581	6.60531	3.24053	3.63854	0	72.82841437	0	3.13562	23.3416587	7.8335	0	0.605711	0	0	0	2.23921	19.139652	37.56507	2.22188	35.873844	107.791412	7.8734204	0
sim_meta-74	0	25.880502	65.2311362	0	3.3207039	0	16.73409428	26.834619	2.45564465	2.59335869	14.11053517	7.411376	3.64884	0	0.406903	68.81062095	0.98426542	1.31761506	38.53448978	10.6276982	0	3.249229	0	0	11.8088	0	21.095808	36.2764106	6.81473006	21.032895	96.5089387	0.721916	0
sim_meta-75	0	26.131444	52.920646	5.07696	0	0	15.27846	24.011002	8.60525	18.07345	10.1175	14.32884	0.718037	0	0	52.127275	0	0	38.485953	5.3021	2.2301	4.48215	0	1.25811	0	0	17.38877	17.922755	7.89371	26.525919	148.616242	2.315044	0.982681
sim_meta-76	0	28.26490252	84.555032	0	7.90991	0	5.37461	24.310335	1.74259	5.814277	39.03901	11.20085	0	0	3.9291	126.830201	2.89908	1.73856	30.23543	23.1114	3.62099	7.9696	0	0	9.65414	0	17.490891	70.236464	6.53114	28.879822	114.657695	8.377685	9.14882
sim_meta-77	0	24.801287	100.892411	0	3.041101	0	24.231163	49.356943	0	0	16.94193	9.92999	0	0	0	95.609206	0	0	31.551498	2.380429	0	1.96813	0.176144	0	0	0	42.434207	38.413834	5.7707	27.444944	101.81809	1.80809	1.78489
sim_meta-78	0	28.530964	72.430433	0	8.74632	0	25.2166755	37.933933	4.38825	2.67754	30.277772	14.5562271	0	0	2.315704	117.654552	3.52598	2.43342	40.02569	30.712102	2.290728	7.370083	4.03611	0	6.58797	2.36135	15.18288	96.34809	6.70951	16.353306	129.487183	7.507011	2.748754
sim_meta-79	0.696796	27.7297122	79.689215	0	0.941857	0	3.137029	17.4478921	8.244455	4.956837	24.633175	9.322557	0	0.47765	4.118209	80.4378163	3.355833	3.368913	72.37905481	17.932896	2.330982	2.329418	0.560463	0	9.3921	0	14.278531	66.1712034	11.643626	26.2767966	102.0089191	2.696549	3.035561
